Date,Canada,Chile,Mexico,Taiwan China,Hong Kong China,Japan,South Korea,Macao China,Maldives,Cambodia,Indonesia,Singapore,New Zealand,USA,Thailand,Turkey,Australia,Hawaii,Austria,Czech
2023M08,21472.866357279534,1410.0,12231.348947865494,26661.0,2975846.0,291487.03279901296,231413.83501274756,1910371.0,28964.0,53181.62501133793,84176.19262504127,231331.0,15920.0,121343.81022754645,410311.0,25016.522271566853,79040.0,852.0,19649.400490526048,21152.861812540243
2023M09,15711.432150182096,1410.0,10987.35892592667,26661.0,2975846.0,271817.65279297775,216852.29832695788,1910371.0,28964.0,47165.253606918726,81257.11321712093,231331.0,15920.0,101153.10754555174,410311.0,27620.06632055833,79040.0,684.0,17077.176428818442,18906.72580634626
2023M10,10333.70428633608,1410.0,11531.165960725923,26661.0,2975846.0,255265.04464894527,196964.3255458901,1910371.0,28964.0,52795.971719457535,78227.82049870845,231331.0,15920.0,74049.0959262302,410311.0,26266.808169382137,79040.0,434.0,12584.50040948448,18644.73557153985
2023M11,6016.351277254755,1410.0,14136.713638137102,26661.0,2975846.0,249958.75130061267,178898.57142751175,1910371.0,28964.0,55231.46511416416,75717.00657658254,231331.0,15920.0,49994.9257251184,410311.0,23772.84392167765,79040.0,795.0,6988.407284180311,17440.591765518042
2023M12,3665.653486628175,1410.0,19468.41485569239,26661.0,2975846.0,250495.34845091013,165094.42730720734,1910371.0,28964.0,60637.288471186526,73805.19082874995,231331.0,15920.0,46230.74444419578,410311.0,23073.272034924536,79040.0,2068.0,3069.2859547144035,18235.81011686098
2024M01,2582.0811731793815,1410.0,13766.682881640987,26661.0,2975846.0,242169.16388831384,154375.34332370045,1910371.0,28964.0,56601.25029426494,74347.17440243308,231331.0,15920.0,51927.34706561525,410311.0,22226.557332210643,79040.0,1164.0,1944.9270100589079,16850.100840214298
2024M02,3220.7099416091132,1410.0,13044.211011146783,26661.0,2975846.0,227279.98389686525,148227.58895915467,1910371.0,28964.0,64932.986777044905,74629.49159003221,231331.0,15920.0,36249.742235229896,410311.0,22285.355717185383,79040.0,421.0,3482.400256326939,15403.384430480093
2024M03,6484.323594477364,1410.0,17027.693882292122,26661.0,2975846.0,217797.55172347566,148474.09922461185,1910371.0,28964.0,69106.23751904856,76835.66787954386,231331.0,15920.0,38185.15494324591,410311.0,23200.950936906604,79040.0,1187.0,8262.993585205597,18298.10667654285
2024M04,11696.250828205066,1410.0,14828.03297804808,26661.0,2975846.0,214431.39422073404,155564.80795608505,1910371.0,28964.0,51291.68502602724,78788.75121512057,231331.0,15920.0,71387.20112751251,410311.0,25050.46163593048,79040.0,635.0,14926.265605949553,20046.764139872776
2024M05,18081.701893180383,1410.0,15252.82268234775,26661.0,2975846.0,213345.651785902,166654.31945397268,1910371.0,28964.0,50128.21634369232,81433.49944316523,231331.0,15920.0,75933.73907928554,410311.0,26383.090436579667,79040.0,1510.0,21965.53145382684,20587.437008756144
2024M06,23628.45268062219,1410.0,14976.26046376195,26661.0,2975846.0,219191.45792397106,179458.95131832504,1910371.0,28964.0,48402.29124065346,82638.64043545077,231331.0,15920.0,78972.06978988998,410311.0,26910.296659951473,79040.0,1136.0,27340.87646178285,23310.4464941483
2024M07,26762.419867984616,1410.0,14874.444457058853,26661.0,2975846.0,235898.01954564586,192488.5596295372,1910371.0,28964.0,56756.57080744005,86047.813023815,231331.0,15920.0,95219.13455624173,410311.0,27858.501046784266,79040.0,1118.0,29846.257250275707,27090.12026259578
